[['pub.1164411384', '0 1'],
 ['pub.1164373652', '0 1'],
 ['pub.1153832798', '1 1'],
 ['pub.1163081111', '0 1'],
 ['pub.1150641294', '1 0'],
 ['pub.1152145240', '1 0'],
 ['pub.1155073738', '0 0'],
 ['pub.1079260845', '1 1'],
 ['pub.1152202795', '0 0'],
 ['pub.1166237974', '1 1'],
 ['pub.1157336295', '1 0'],
 ['pub.1159861361', '0 1'],
 ['pub.1138702766', '0 1'],
 ['pub.1032510586', '0 1'],
 ['pub.1163652462', '1 1'],
 ['pub.1124457596', '1 0'],
 ['pub.1166725237', '1 1'],
 ['pub.1148628196', '0 0'],
 ['pub.1084157456', '0 1'],
 ['pub.1118020902', '0 1'],
 ['pub.1128557239', '1 0'],
 ['pub.1144361285', '1 1'],
 ['pub.1016235826', '1 1'],
 ['pub.1157252657', '0 0'],
 ['pub.1090608945', '0 0'],
 ['pub.1139221330', '0 1'],
 ['pub.1100591078', '1 0'],
 ['pub.1125615291', '0 1'],
 ['pub.1132235410', '1 0'],
 ['pub.1163351626', '1 0'],
 ['pub.1148543179', '1 1'],
 ['pub.1161683465', '1 1'],
 ['pub.1168633494', '1 1'],
 ['pub.1162950577', '1 1'],
 ['pub.1130478159', '0 0'],
 ['pub.1166259471', '1 0'],
 ['pub.1166825314', '1 1'],
 ['pub.1167232053', '1 1'],
 ['pub.1167499735', '1 0'],
 ['pub.1169556367', '1 0'],
 ['pub.1146562592', '1 0'],
 ['pub.1131229189', '0 0'],
 ['pub.1166103565', '1 1'],
 ['pub.1165091283', '1 0'],
 ['pub.1099930760', '1 0'],
 ['pub.1149045758', '1 0'],
 ['pub.1147125321', '1 1'],
 ['pub.1113014226', '0 0'],
 ['pub.1163328438', '0 0'],
 ['pub.1126899198', '1 1'],
 ['pub.1166661597', '1 1'],
 ['pub.1163696543', '1 1'],
 ['pub.1146957231', '1 0'],
 ['pub.1164322405', '1 0'],
 ['pub.1160656931', '1 1'],
 ['pub.1152581882', '1 1'],
 ['pub.1149525103', '1 1'],
 ['pub.1163650347', '1 1'],
 ['pub.1163996021', '1 1'],
 ['pub.1160327361', '1 1'],
 ['pub.1143457076', '1 1'],
 ['pub.1164344408', '1 1'],
 ['pub.1152524461', '1 1'],
 ['pub.1164839161', '1 0'],
 ['pub.1156752465', '1 0'],
 ['pub.1117683185', '1 1'],
 ['pub.1160173105', '1 1'],
 ['pub.1146630679', '1 1'],
 ['pub.1163696544', '1 1'],
 ['pub.1166779980', '1 0'],
 ['pub.1138365946', '1 0'],
 ['pub.1109825847', '1 1'],
 ['pub.1166868276', '1 1'],
 ['pub.1164031384', '1 1'],
 ['pub.1166678007', '1 0'],
 ['pub.1152565289', '1 1'],
 ['pub.1165257113', '1 1'],
 ['pub.1142906028', '1 0'],
 ['pub.1166207946', '1 1'],
 ['pub.1124270662', '0 0'],
 ['pub.1145285516', '1 1'],
 ['pub.1159821092', '1 1'],
 ['pub.1150606432', '1 1'],
 ['pub.1149214255', '1 1'],
 ['pub.1168678874', '1 0'],
 ['pub.1168190570', '1 0'],
 ['pub.1144874357', '1 0'],
 ['pub.1144142943', '1 0'],
 ['pub.1151504066', '1 1'],
 ['pub.1125488829', '1 0'],
 ['pub.1150912833', '1 1'],
 ['pub.1138877203', '1 1'],
 ['pub.1160102225', '1 0'],
 ['pub.1147478970', '1 1'],
 ['pub.1167621361', '1 0'],
 ['pub.1159973940', '1 1'],
 ['pub.1162263988', '1 1'],
 ['pub.1157690348', '0 1'],
 ['pub.1157326389', '1 1'],
 ['pub.1168131098', '1 1'],
 ['pub.1158864509', '1 0'],
 ['pub.1149214266', '1 1'],
 ['pub.1167549849', '1 1'],
 ['pub.1156892823', '1 1'],
 ['pub.1166074650', '0 0'],
 ['pub.1167345762', '1 1'],
 ['pub.1166573428', '1 1'],
 ['pub.1146599975', '1 1'],
 ['pub.1160693452', '1 1'],
 ['pub.1164561004', '1 1'],
 ['pub.1168483980', '1 1'],
 ['pub.1162738833', '1 0'],
 ['pub.1150866235', '1 1'],
 ['pub.1147678670', '1 1'],
 ['pub.1160439226', '1 1'],
 ['pub.1156207656', '1 1'],
 ['pub.1140415445', '1 1'],
 ['pub.1138054596', '1 0'],
 ['pub.1156752474', '1 1'],
 ['pub.1152854584', '1 0'],
 ['pub.1110896677', '1 0'],
 ['pub.1162700122', '1 1'],
 ['pub.1168633505', '1 1'],
 ['pub.1130329167', '1 0'],
 ['pub.1114505002', '1 1'],
 ['pub.1167433737', '1 1'],
 ['pub.1127335411', '1 0'],
 ['pub.1100650681', '1 1'],
 ['pub.1166620883', '1 0'],
 ['pub.1127112587', '0 1'],
 ['pub.1144230537', '0 1'],
 ['pub.1167188552', '1 0'],
 ['pub.1167021538', '1 0'],
 ['pub.1165118195', '1 1'],
 ['pub.1165373744', '1 0'],
 ['pub.1166347605', '1 1'],
 ['pub.1151033931', '1 1'],
 ['pub.1167101429', '1 1'],
 ['pub.1127721517', '1 1'],
 ['pub.1166661595', '1 0'],
 ['pub.1138420439', '1 1'],
 ['pub.1166249791', '1 0'],
 ['pub.1160549086', '1 1'],
 ['pub.1085299515', '1 0'],
 ['pub.1169793115', '1 1'],
 ['pub.1165093123', '1 1'],
 ['pub.1159942436', '1 1'],
 ['pub.1168173288', '1 0'],
 ['pub.1147658705', '1 0'],
 ['pub.1166412703', '1 0'],
 ['pub.1167872435', '1 0'],
 ['pub.1092365683', '0 1'],
 ['pub.1126700462', '0 1'],
 ['pub.1165817973', '1 1'],
 ['pub.1147744603', '1 1'],
 ['pub.1164713124', '1 1'],
 ['pub.1148834837', '1 1'],
 ['pub.1164585526', '1 1'],
 ['pub.1146924514', '1 0'],
 ['pub.1154414743', '1 1'],
 ['pub.1166706755', '1 1'],
 ['pub.1144484361', '1 1'],
 ['pub.1145583588', '0 1'],
 ['pub.1149131913', '1 1'],
 ['pub.1160533157', '1 1'],
 ['pub.1164911840', '1 0'],
 ['pub.1155062710', '1 0'],
 ['pub.1140929591', '1 0'],
 ['pub.1164722166', '1 1'],
 ['pub.1093150169', '1 1'],
 ['pub.1147714328', '0 1'],
 ['pub.1166744306', '0 1'],
 ['pub.1156752472', '1 1'],
 ['pub.1130773324', '1 1'],
 ['pub.1167896503', '1 1'],
 ['pub.1018946015', '1 1'],
 ['pub.1153512181', '1 0'],
 ['pub.1148456655', '1 1'],
 ['pub.1151837302', '1 0'],
 ['pub.1163777978', '1 0'],
 ['pub.1148375543', '0 1'],
 ['pub.1068579450', '1 1'],
 ['pub.1093150211', '1 1'],
 ['pub.1093132175', '1 1'],
 ['pub.1131538632', '1 1'],
 ['pub.1104591167', '1 1'],
 ['pub.1164055977', '1 1'],
 ['pub.1084649672', '1 1'],
 ['pub.1136909422', '1 1'],
 ['pub.1145548335', '0 1'],
 ['pub.1160275853', '1 1'],
 ['pub.1144354834', '1 1'],
 ['pub.1163468317', '1 1'],
 ['pub.1130087077', '1 1'],
 ['pub.1167135683', '1 1'],
 ['pub.1157141324', '1 1'],
 ['pub.1145049281', '0 1'],
 ['pub.1124090529', '1 0'],
 ['pub.1155097226', '1 1'],
 ['pub.1160246544', '1 0'],
 ['pub.1134331864', '1 1'],
 ['pub.1131750753', '1 0'],
 ['pub.1166766795', '1 0'],
 ['pub.1156170677', '1 0'],
 ['pub.1131412195', '0 1'],
 ['pub.1134919215', '0 1'],
 ['pub.1146273289', '1 1'],
 ['pub.1107042920', '1 0'],
 ['pub.1123500835', '1 0'],
 ['pub.1160560431', '1 0'],
 ['pub.1125885435', '0 1'],
 ['pub.1092652125', '1 0'],
 ['pub.1143582058', '0 1'],
 ['pub.1150496430', '0 1'],
 ['pub.1015898789', '1 0'],
 ['pub.1128826146', '1 0'],
 ['pub.1134373711', '1 0'],
 ['pub.1166959560', '1 1'],
 ['pub.1147436311', '1 1'],
 ['pub.1151638559', '1 0'],
 ['pub.1168586894', '1 1'],
 ['pub.1154450143', '1 1'],
 ['pub.1144279290', '1 1'],
 ['pub.1151203525', '1 1'],
 ['pub.1120592711', '1 1'],
 ['pub.1164813244', '0 1'],
 ['pub.1138581990', '1 1'],
 ['pub.1162978926', '1 1'],
 ['pub.1162821457', '1 0'],
 ['pub.1166394765', '1 0'],
 ['pub.1103379648', '1 0'],
 ['pub.1166412629', '1 0'],
 ['pub.1131915764', '1 1'],
 ['pub.1146763187', '1 0'],
 ['pub.1147153631', '1 0'],
 ['pub.1136174134', '1 1'],
 ['pub.1109941992', '1 1'],
 ['pub.1127539019', '1 1'],
 ['pub.1155053957', '1 1'],
 ['pub.1123058547', '1 1'],
 ['pub.1122455808', '1 0'],
 ['pub.1157141287', '1 0'],
 ['pub.1100983850', '1 0'],
 ['pub.1126577211', '1 1'],
 ['pub.1128647432', '1 0'],
 ['pub.1141424248', '0 0'],
 ['pub.1025353017', '1 0'],
 ['pub.1134266352', '0 1'],
 ['pub.1166814654', '0 1'],
 ['pub.1128247620', '1 0'],
 ['pub.1126906948', '1 0'],
 ['pub.1092365686', '1 1'],
 ['pub.1129593021', '0 1'],
 ['pub.1165769390', '1 1'],
 ['pub.1166389452', '1 1'],
 ['pub.1168331119', '1 0'],
 ['pub.1141877208', '1 1'],
 ['pub.1139288314', '0 1'],
 ['pub.1125728429', '1 1'],
 ['pub.1132559617', '1 0'],
 ['pub.1164363606', '1 1'],
 ['pub.1153945461', '1 1'],
 ['pub.1132680787', '1 1'],
 ['pub.1147229672', '1 0'],
 ['pub.1153339981', '1 1'],
 ['pub.1128195117', '1 0'],
 ['pub.1129816614', '0 0'],
 ['pub.1151912197', '1 1'],
 ['pub.1152931871', '1 0'],
 ['pub.1093069430', '1 1'],
 ['pub.1152919271', '1 1'],
 ['pub.1141101955', '1 1'],
 ['pub.1047887035', '0 1'],
 ['pub.1127308381', '1 0'],
 ['pub.1100976816', '1 1'],
 ['pub.1159826490', '1 1'],
 ['pub.1141305067', '1 1'],
 ['pub.1149214253', '1 1'],
 ['pub.1149174326', '1 1'],
 ['pub.1112431562', '0 1'],
 ['pub.1132669727', '0 1'],
 ['pub.1152905785', '1 0'],
 ['pub.1149430301', '1 0'],
 ['pub.1130325913', '0 1'],
 ['pub.1060065761', '1 1'],
 ['pub.1163832719', '1 0'],
 ['pub.1131816546', '0 1'],
 ['pub.1165769249', '1 0'],
 ['pub.1120592771', '1 1'],
 ['pub.1118004185', '1 0'],
 ['pub.1157464248', '1 0'],
 ['pub.1129658567', '1 1'],
 ['pub.1166327396', '1 1'],
 ['pub.1152423369', '1 1'],
 ['pub.1135859740', '1 1'],
 ['pub.1116320514', '0 1'],
 ['pub.1156540922', '1 0'],
 ['pub.1137249494', '1 1'],
 ['pub.1101660312', '1 0'],
 ['pub.1127721527', '1 1'],
 ['pub.1131151504', '0 1'],
 ['pub.1164161504', '0 0'],
 ['pub.1167728373', '1 1'],
 ['pub.1163931674', '1 1'],
 ['pub.1107046946', '1 0'],
 ['pub.1157895517', '1 1'],
 ['pub.1165078046', '1 1'],
 ['pub.1085324011', '1 1'],
 ['pub.1125079255', '1 0'],
 ['pub.1168595949', '1 1'],
 ['pub.1128209117', '1 1'],
 ['pub.1122006742', '1 0'],
 ['pub.1122296604', '0 0'],
 ['pub.1155041456', '1 0'],
 ['pub.1167164504', '1 0'],
 ['pub.1121305183', '1 1'],
 ['pub.1100982640', '1 1'],
 ['pub.1164632264', '0 0'],
 ['pub.1164632269', '0 0'],
 ['pub.1155505823', '1 1'],
 ['pub.1151216238', '0 0'],
 ['pub.1144504387', '1 0'],
 ['pub.1104386163', '1 1'],
 ['pub.1107042544', '1 1'],
 ['pub.1132480570', '1 0'],
 ['pub.1138848847', '1 1'],
 ['pub.1167049262', '1 1'],
 ['pub.1152958097', '0 0'],
 ['pub.1157959185', '1 1'],
 ['pub.1144988196', '1 0'],
 ['pub.1130991245', '1 0'],
 ['pub.1092399476', '1 1'],
 ['pub.1118011386', '0 1'],
 ['pub.1137289139', '1 1'],
 ['pub.1136267661', '0 0'],
 ['pub.1162929634', '1 0'],
 ['pub.1145048063', '1 0'],
 ['pub.1086052958', '0 1'],
 ['pub.1092721473', '0 1'],
 ['pub.1167540581', '1 0'],
 ['pub.1120124374', '0 1'],
 ['pub.1157110319', '1 0'],
 ['pub.1153890601', '0 0'],
 ['pub.1156325757', '0 1'],
 ['pub.1137788363', '1 1'],
 ['pub.1128707855', '1 0'],
 ['pub.1138643794', '0 1']]


